Articulo,Nombre,Rubro,Cantidad,Disponible
2435,"MERMELADA FRUTOS ROJOS CON STEVIA ""DOÑA MAGDALENA""","DULCES, MIEL Y CHOCOLATES",3,SI
1902,MERMELADA MQA FRUTILLA X 310,"DULCES, MIEL Y CHOCOLATES",0,NO
1901,MERMELADA MQA X 310,"DULCES, MIEL Y CHOCOLATES",17,SI
1906,MERMELADA ZANAHORIA/NARANJA X310GR,"DULCES, MIEL Y CHOCOLATES",7,SI
2271,"MIEL BATIDA ""GOTAS DE ORO"" X250GR","DULCES, MIEL Y CHOCOLATES",20,SI
2171,"MIEL BATIDA ""GOTAS DE ORO"" X500GR","DULCES, MIEL Y CHOCOLATES",27,SI
1406,"MIEL DE ABEJA X 1 kg ""MONTE NATURAL"" - JALEA","DULCES, MIEL Y CHOCOLATES",0,NO
1408,"MIEL DE ABEJA X 250 g ""MONTE NATURAL"" - JALEA","DULCES, MIEL Y CHOCOLATES",11,SI
1410,"MIEL DE ABEJA X 500 g ""MONTE NATURAL"" - JALEA","DULCES, MIEL Y CHOCOLATES",16,SI
2287,"MIEL X 250 g ""TRES SOLES"" - JALEA","DULCES, MIEL Y CHOCOLATES",22,SI
2286,"MIEL X 500 g ""TRES SOLES"" - JALEA","DULCES, MIEL Y CHOCOLATES",24,SI
1418,MIX 4 PIMIENTAS,ESPECIAS,1,SI
1415,MIX 7 SEMILLAS SALUD X KG,SEMILLAS,4,SI
1416,MIX CERVECERO X KG,FRUTOS SECOS,4,SI
1421,MIX DE SLLAS ADELGAZ X KG,SEMILLAS,3,SI
2176,MIX FRUTOS ROJOS CONGELADOS X KILO,PRODUCTOS CONGELADOS,6,SI
2228,MIX IMPERIAL X KG,FRUTOS SECOS,12,SI
1426,MIX PATAGONICO X KG,FRUTOS SECOS,14,SI
1660,MIX SALADO X KG,FRUTOS SECOS,2,SI
1422,MIX SLLAS PARA ENSALADA X KG,SEMILLAS,5,SI
1429,MIX TRADICIONAL X KG,FRUTOS SECOS,13,SI
1430,MIX TROPICAL X KG.,FRUTOS SECOS,8,SI
2250,MOLINILLO ACERO INOXIDABLE,PALADEAR HOME,0,NO
2011,MOLINILLO CAFE MANUAL,PALADEAR HOME,2,SI
5038,MORINGA,INFUSIONES Y HIERBAS,1,SI
2276,"MORINGA TINTURA MADRE X60cc ""EL NATURALISTA""",SUPLEMENTOS,2,SI
2476,MOSTAZA CON MIEL ORGANICA 190gr,LINEA GOURMET,7,SI
2477,MOSTAZA DIJON 170gr,LINEA GOURMET,4,SI
1436,MOSTAZA EN GRANOS X KG,ESPECIAS,1,SI
2333,"NAD X 60 cápsulas ""EL NATURALISTA""",SUPLEMENTOS,3,SI
2334,"NAD+RESVERATROL X 60 cápsulas ""EL NATURALISTA""",SUPLEMENTOS,2,SI
2373,NENCIA TINTURA MADRE X 60 CC,SUPLEMENTOS,3,SI
2505,NMN nicotinamida mononucleotido,SUPLEMENTOS,0,NO
1957,NUECES CONFITADAS X 100 g,"DULCES, MIEL Y CHOCOLATES",0,NO
1446,NUEZ CON CASCARA X KG,FRUTOS SECOS,8,SI
1445,NUEZ CUARTOS X KG,FRUTOS SECOS,18,SI
4453,NUEZ DE BRASIL XKG,FRUTOS SECOS,4,SI
1716,NUEZ MARIPOSA EXTRA LIGHT X KG,FRUTOS SECOS,18,SI
1450,NUEZ MARIPOSA LIGHT X KG,FRUTOS SECOS,13,SI
1451,NUEZ MOSCADA ENTERA X KG,ESPECIAS,2,SI
1452,NUEZ MOSCADA MOLIDA X KG.,ESPECIAS,3,SI
5029,NUEZ PECAN,FRUTOS SECOS,2,SI
2189,OMEGA 3-SYNERGY 60 cap,SUPLEMENTOS,1,SI
1455,OREGANO KG.,ESPECIAS,3,SI
2372,ORTIGA TINTURA MADRE X 60 CC,SUPLEMENTOS,4,SI
2421,PALO SANTO X30GR,PALADEAR HOME,5,SI
1670,PANKO X KG,HARINAS,4,SI
5037,PAPRIKA,ESPECIAS,1,SI
2009,PASAS DE UVA C/CHOCO XKG,"DULCES, MIEL Y CHOCOLATES",3,SI
2440,PASAS DE UVA CEREZA CON SEMILLA X KG,DESHIDRATADOS,12,SI
4456,PASAS MOROCHA JUMBO X KG,DESHIDRATADOS,9,SI
1955,PASAS MOROCHAS FLAME SIN SEMILLA X KG,DESHIDRATADOS,13,SI
1461,PASAS RUBIA SIN SLLA X KG,DESHIDRATADOS,7,SI
2374,PASIONARIA TINTURA MADRE X 6O CC,SUPLEMENTOS,0,NO
1462,PASTA ACEITUNAS CONDIM. 200 g,LINEA GOURMET,4,SI
1463,"PASTA ACEITUNAS NEGRAS X 200 g ""AGROIANNI""",LINEA GOURMET,0,NO
1464,"PASTA ACEITUNAS VERDES X 200 g ""AGROIANNI""",LINEA GOURMET,3,SI
1465,PASTA DE AJI PICANTE X 90 GR,LINEA GOURMET,9,SI
1468,PASTA DE AJO X80 GR - ALCARAZ,LINEA GOURMET,8,SI
4457,PASTA DENTAL X 100 - SRISRI,PALADEAR HOME,6,SI
5048,PEPAS DE NUEZ,"AZUCAR, CACAO Y REPOSTERIA",0,SI
2397,PEPERINA X KG,INFUSIONES Y HIERBAS,1,SI
1483,PEPINILLOS EN VIN. X 200 GR,ENCURTIDOS,11,SI
1486,PEPINOS AGRID X 200 GR,ENCURTIDOS,5,SI
1488,PERAS WILLIAMS X KG,DESHIDRATADOS,4,SI
1489,PEREJIL EN HOJAS X KG.,ESPECIAS,1,SI
1492,PERRO CALLEJERO MALBEC X 750CC,VINOS,4,SI
1495,PESTO X KG,ESPECIAS,1,SI
1789,PETALOS DE ROSA XKG,INFUSIONES Y HIERBAS,0,SI
1501,PICKLES MIXTOS X 200 GR,ENCURTIDOS,7,SI
1502,PIMENTON AHUMADO X KG,ESPECIAS,3,SI
1505,PIMENTON EXTRA X KG,ESPECIAS,2,SI
1506,PIMENTÓN PICANTE X KG,ESPECIAS,2,SI
1508,PIMIENTA BCA EN GRANO X KG,ESPECIAS,3,SI
1510,PIMIENTA BCA MOLIDA X KG,ESPECIAS,3,SI
1511,PIMIENTA CAYENA MOLIDA X KG.,ESPECIAS,1,SI
2264,PIMIENTA JAMAICA X KG,ESPECIAS,1,SI
1512,PIMIENTA NEGRA EN GRANO X KG.,ESPECIAS,2,SI
1513,PIMIENTA NEGRA MOLIDA X KG,ESPECIAS,2,SI
1517,PIMIENTOS ENTEROS X 200 GR,ENCURTIDOS,9,SI
5010,PIPAS TOSTADAS CON SAL X 50 gr,SNACK,-2,NO
2369,PISTACHOS NATURALES SIN CÁCARA X KG,FRUTOS SECOS,9,SI
1520,PIÑA CONGELADA X KG,PRODUCTOS CONGELADOS,3,SI
2132,PLATA COLOIDAL X100ML,SUPLEMENTOS,0,NO
2092,POLEN X KG,ESPECIAS,1,SI
2410,POLVO P/HORENAR X 250 g SIN TACC - DICOMERE,PRODUCTOS SIN TACC,2,SI
5027,POLVO PARA HORNEAR SIN TACC X50 GR,PRODUCTOS SIN TACC,19,SI
2348,POLVO PARA HORNEAR X KG,"AZUCAR, CACAO Y REPOSTERIA",4,SI
1525,POROTO ALUBIA KG,GRANOS Y LEGUMBRES,6,SI
1526,POROTO COLORADO X KG.,GRANOS Y LEGUMBRES,9,SI
1527,POROTO MANTECA X KG.,GRANOS Y LEGUMBRES,9,SI
1528,POROTO MUNG X KG,GRANOS Y LEGUMBRES,3,SI
1529,POROTO NEGRO X KG.,GRANOS Y LEGUMBRES,4,SI
1530,POROTOS CONDIM X 200 GR,ENCURTIDOS,4,SI
1533,POROTOS PALLARES X KG,GRANOS Y LEGUMBRES,7,SI
2211,"POTASIO+MAGNESIO 30cap ""El Naturalista""",SUPLEMENTOS,8,SI
2332,"PREMEZCLA BIZCOCHUELO ""DELICEL"" X500GR SIN TACC",PRODUCTOS SIN TACC,7,SI
1539,PREMEZCLA P/PANIFI S/ TACC X 1 KG,PRODUCTOS SIN TACC,2,SI
2167,"PREMEZCLA PIZZA ""DELICEL"" X500GR SIN TACC",PRODUCTOS SIN TACC,3,SI
2490,PREMEZCLA SIN TACC UNIVERSAL PANADERIA REPOSTERÍA Y PASTAS X 500 g - DELICEL,PRODUCTOS SIN TACC,0,NO
2495,PRENSA FRANCESA 350ml,PALADEAR HOME,5,SI
2496,PRENSA FRANCESA 600ml,PALADEAR HOME,6,SI
2425,PRENSA FRANCESA 800ml,PALADEAR HOME,3,SI
2180,PROBIOTICOS KYIOJIN X 60 ML,SUPLEMENTOS,6,SI
2221,PROPOLEO LIQ X 100ml El Naturalista,SUPLEMENTOS,1,SI
2503,"PROPOLEO PLUS+CURCUMA,JENGIBRE Y TOMILLO 250ml",SUPLEMENTOS,2,SI
2401,"PROPOLEO SPRAY 30 cc ""EL NATURALISTA""",SUPLEMENTOS,2,SI
1900,"PROSTASANA X 30 COMPR. ""EL NATURALISTA""",SUPLEMENTOS,7,SI
1866,PROTEINA AISALDA DE SUERO X KG,SUPLEMENTOS,-0,NO
1545,PROVENZAL X KG.,ESPECIAS,2,SI
1549,QUINOA INFLADA X KG.,CEREALES,8,SI
1551,QUINOA X KG,SEMILLAS,2,SI
1553,REBOZADOR S/GLUTEN X 500 GR,PRODUCTOS SIN TACC,3,SI
2168,"REDUCTOR BLISTER X 10 COMP.""EL NATURALISTA""",SUPLEMENTOS,20,SI
2113,"REISHI X 60 CAPSULAS ""SOMOS SETA""",SUPLEMENTOS,2,SI
2412,"REISHI X 60 CC ""SOMOS SETA""",SUPLEMENTOS,2,SI
2295,"RELAX BLEND X50CAP. ""NATIER""",SUPLEMENTOS,1,SI
2212,"RESVERATROL X 30 ""EL NATURALISTA""",SUPLEMENTOS,10,SI
2050,"RESVERATROL X 50 CÁPSULAS ""NATIER""",SUPLEMENTOS,4,SI
2480,"RHODIOLA ROSEA EXTRACTO X60cc ""SOMOS SETAS""",SUPLEMENTOS,1,SI
2472,"RHODIOLA ROSEA POLVO ""SOMOS SETAS""",SUPLEMENTOS,1,SI
1692,RODAJAS NARANJA DESHIDR X 1 KG,DESHIDRATADOS,1,SI
1555,ROMERO EN HOJAS X KG.,ESPECIAS,3,SI
5024,ROOIBOS XKG,INFUSIONES Y HIERBAS,0,SI
2093,ROSA MOSQUETA X KG,INFUSIONES Y HIERBAS,1,SI
2071,SAHUMEADOR CHICO CEMENTO,PALADEAR HOME,0,NO
2070,SAHUMEADOR GRANDE COLOR,PALADEAR HOME,3,SI
2065,"SAHUMERIO MOMENTOS X5 ""AROMANZA""",PALADEAR HOME,14,SI
2066,"SAHUMERIO TIBETANO X8 ""AROMANZA""",PALADEAR HOME,62,SI
2329,SAHUMERIOS CON PORTASAHUMERIO AROMANZA,PALADEAR HOME,3,SI
2064,"SAHUMO LIMPIEZA ENERGENTICA ""SAGRADA MADRE""",PALADEAR HOME,1,SI
1557,SAL DEL HIMALAYA FINA X 1 KG,ESPECIAS,7,SI
1558,SAL DEL HIMALAYA GRUESA X KG.,ESPECIAS,6,SI
2376,SAL DIETETICA NATURAL,ESPECIAS,3,SI
1561,SAL MARINA FINA X 500 GR.,ESPECIAS,7,SI
1562,SAL MARINA GRUESA X 500 GR,ESPECIAS,10,SI
2419,SALERO/PIMENTERO,PALADEAR HOME,0,NO
1687,SALSA AJI PICANTE X 180 CC,LINEA GOURMET,4,SI
1803,SALSA CESAR 250 GR,LINEA GOURMET,2,SI
1566,SALSA CHIMICHURRI X 250 GR,LINEA GOURMET,7,SI
2502,SALSA INGLESA x180cc,LINEA GOURMET,21,SI
1573,SALSA JALAPEÑO ROJA X 180 CC,LINEA GOURMET,18,SI
1683,SALSA JALAPEÑO VERDE X 180 CC,LINEA GOURMET,11,SI
2144,SALSA TAHINE,LINEA GOURMET,2,SI
1575,SALSA TERIYAKI X 250 CC,LINEA GOURMET,4,SI
1576,SALVADO DE AVENA X KG,HARINAS,7,SI
1577,SALVADO DE TRIGO GRUESO X 1 KG,HARINAS,3,SI
1578,SALVIA OFICINAL,INFUSIONES Y HIERBAS,1,SI
2320,"SELENIO QUELADO ""NATIER"" X 50 CAP",SUPLEMENTOS,1,SI
1581,SEMILLA DE AMAPOLA X KG.,SEMILLAS,1,SI
1582,SEMILLA DE AMARANTO X KG,SEMILLAS,2,SI
1583,SEMILLA DE CHIA NAC X KG.,SEMILLAS,7,SI
1585,SEMILLA DE GIRASOL X KG.,SEMILLAS,9,SI
1586,SEMILLA DE LINO X KG,SEMILLAS,10,SI
1587,SEMILLA DE ZAPALLO PELADO X KG.,SEMILLAS,2,SI
2433,SEMILLAS HINOJO,SEMILLAS,1,SI
1588,SEMOLIN DE TRIGO X KG,HARINAS,-0,NO
2036,SEN FOLICULOS X KG,INFUSIONES Y HIERBAS,1,SI
1589,SESAMO BLANCO X KG.,SEMILLAS,4,SI
1591,SESAMO NEGRO X KG,SEMILLAS,3,SI
5005,SHAMPOO DE ROMERO Y ALOE VERA X300 CC - EL AMAUTA,PALADEAR HOME,0,NO
5025,SHAMPOO SOLIDO,PALADEAR HOME,2,SI
2349,SPIRULINA CONCENTRADA NATIER x 50 cápsulas,SUPLEMENTOS,3,SI
2256,SPIRULINA EN POLVO X KG,SUPLEMENTOS,2,SI
2081,"SPIRULINA X 10 COMP. ""EL NATURALISTA""",SUPLEMENTOS,12,SI
2178,STEVIA HOJAS X KG,INFUSIONES Y HIERBAS,1,SI
2099,"STEVIA LIQUIDA X120 ""SIN TACC""","AZUCAR, CACAO Y REPOSTERIA",4,SI
2098,"STEVIA SOBRES X100 ""SIN TACC""","AZUCAR, CACAO Y REPOSTERIA",7,SI
2439,"SYRUP DE DATILES ""LYNA""","AZUCAR, CACAO Y REPOSTERIA",0,NO
2035,TE DE BURRO X KG,INFUSIONES Y HIERBAS,1,SI
1618,TE NEGRO X KG,INFUSIONES Y HIERBAS,1,SI
1619,TE ROJO X KG,INFUSIONES Y HIERBAS,3,SI
2048,TE VERDE X KG,INFUSIONES Y HIERBAS,2,SI
2457,TETERA CON INFUSOR 550 ml,PALADEAR HOME,1,SI
2458,TETERA CON INFUSOR 750ml,PALADEAR HOME,5,SI
1621,TEXTURIZADO DE SOJA X KG,HARINAS,7,SI
1630,TOMATE CONDIM X 800 GR,TOMATE TRITURADO,14,SI
1632,TOMATE SECOS X KG,DESHIDRATADOS,3,SI
1627,TOMATE TRITURADO X 1 KG,TOMATE TRITURADO,5,SI
1628,TOMATE TRITURADO X 500 GR,TOMATE TRITURADO,12,SI
1633,TOMILLO X KG,ESPECIAS,1,SI
2107,"TOSTADAS RISKY ""SIN TACC""",PRODUCTOS SIN TACC,18,SI
2494,"TREMELLA EN CAPSULAS ""SOMOS SETAS""",SUPLEMENTOS,2,SI
2464,"TREMELLA EN POLVO 30 g ""SOMOS SETAS""""",SUPLEMENTOS,1,SI
2465,"TREMELLA EXTRACTO 60 cc ""SOMOS SETAS""",SUPLEMENTOS,2,SI
1634,TRIGO BURGOL X KG,GRANOS Y LEGUMBRES,4,SI
2379,TRIGO CANDEAL X KG,GRANOS Y LEGUMBRES,5,SI
2367,TRIGO SARRACENO PELADO X KG,GRANOS Y LEGUMBRES,2,SI
1635,TUTUCAS CON AZUCAR X KG,CEREALES,5,SI
1636,TUTUCAS SIN AZUCAR X KG,CEREALES,7,SI
2175,"VALERIANA BLISTER X 10 COMP. ""EL NATURALISTA""",SUPLEMENTOS,13,SI
2375,VALERIANA TINTURA MADRE X 60 CC,SUPLEMENTOS,3,SI
2405,VELON BURBUJA,PALADEAR HOME,5,SI
2392,"VERMUTH ""AQUI Y AHORA""",VINOS,6,SI
1637,VINAGRE DE ALCOHOL X 1 L,ACEITES Y VINAGRES,2,SI
1638,VINAGRE DE MANZANA X 1 L,ACEITES Y VINAGRES,11,SI
2364,"VINAGRE DE SIDRA DE MANZANA ""VERDE VIDA"" X 500 ML",SUPLEMENTOS,5,SI
2227,"VINAGRE DE SIDRA DE MANZANA X 250 ML ""NATIER""",SUPLEMENTOS,0,NO
2052,"VINAGRE DE SIDRA DE MANZANA X 50 CÁPSULAS ""NATIER""",SUPLEMENTOS,4,SI
2263,"VINAGRE DE SIDRA DE MANZANA X 500 ML ""NATIER""",SUPLEMENTOS,1,SI
1639,VINAGRE DE VINO X 1 L,ACEITES Y VINAGRES,7,SI
2188,VITAMINA B12 X 50 NATIER,SUPLEMENTOS,6,SI
2053,"VITAMINA C X 50 CÁPSULAS ""NATIER""",SUPLEMENTOS,6,SI
2311,"VITAMINA C X 60 COMPRIMIDOS ""EL NATURALISTA""",SUPLEMENTOS,0,NO
2102,"VITAMINA D3 X 50 UNIDADES ""NATIER""",SUPLEMENTOS,0,NO
2083,"VITAMINA E X 10 COMP. ""EL NATURALISTA""",SUPLEMENTOS,12,SI
2481,"VITAMINA K2 + D3 X 50 cápsulas ""NATIER""",SUPLEMENTOS,0,NO
2033,YERBA DEL PLATERO,INFUSIONES Y HIERBAS,1,SI
2043,YERBA MATE DESPALADA KALENA X KG,INFUSIONES Y HIERBAS,4,SI
5039,YERBA X500GR - TUCANGUA,INFUSIONES Y HIERBAS,0,NO
1879,YOGHURT ANANA X 1 L,PRODUCTOS DE FRIO,2,SI
1812,YOGHURT DURAZNO X 1 L,PRODUCTOS DE FRIO,2,SI
1811,YOGHURT FRUTILLA X 1 L,PRODUCTOS DE FRIO,1,SI
1809,YOGHURT NATURAL AZUCARADO X 1 L,PRODUCTOS DE FRIO,13,SI
1810,YOGHURT NATURAL SIN AZUCAR X 1 L,PRODUCTOS DE FRIO,14,SI
5036,YOGURT ENTERO X125 - YOGURLAC,PRODUCTOS DE FRIO,11,SI
1795,"YOGURT PROTEICO ""YOGURLAC"" X 1L",PRODUCTOS DE FRIO,4,SI
1656,ZAPALLO EN ALMIBAR X 360GR,LINEA GOURMET,1,SI
2079,"ZINC ""EL NATURALISTA""",SUPLEMENTOS,7,SI
